0183342,秋田県,北秋田市,前山,アキタケン,キタアキタシ,マエヤマ
0184201,秋田県,北秋田市,増沢,アキタケン,キタアキタシ,マスザワ
0183321,秋田県,北秋田市,松葉町,アキタケン,キタアキタシ,マツバチョウ
0184263,秋田県,北秋田市,三木田,アキタケン,キタアキタシ,ミツキタ
0184262,秋田県,北秋田市,三里,アキタケン,キタアキタシ,ミッサト
0183315,秋田県,北秋田市,宮前町,アキタケン,キタアキタシ,ミヤマエチョウ
0183325,秋田県,北秋田市,元町,アキタケン,キタアキタシ,モトマチ
0184511,秋田県,北秋田市,森吉,アキタケン,キタアキタシ,モリヨシ
0184301,秋田県,北秋田市,米内沢,アキタケン,キタアキタシ,ヨナイザワ
0183323,秋田県,北秋田市,米代町,アキタケン,キタアキタシ,ヨネシロチョウ
0183454,秋田県,北秋田市,脇神,アキタケン,キタアキタシ,ワキガミ
0180400,秋田県,にかほ市,,アキタケン,ニカホシ,
0180431,秋田県,にかほ市,伊勢居地,アキタケン,ニカホシ,イセイジ
0180411,秋田県,にかほ市,院内,アキタケン,ニカホシ,インナイ
0180322,秋田県,にかほ市,大竹,アキタケン,ニカホシ,オオタケ
0180412,秋田県,にかほ市,小国,アキタケン,ニカホシ,オグニ
0180421,秋田県,にかほ市,釜ケ台,アキタケン,ニカホシ,カマガタイ
0180126,秋田県,にかほ市,象潟町１丁目塩越,アキタケン,ニカホシ,キサカタマチ1チョウメシオコシ
0180118,秋田県,にかほ市,象潟町２丁目塩越,アキタケン,ニカホシ,キサカタマチ2チョウメシオコシ
0180119,秋田県,にかほ市,象潟町３丁目塩越,アキタケン,ニカホシ,キサカタマチ3チョウメシオコシ
0180116,秋田県,にかほ市,象潟町４丁目塩越,アキタケン,ニカホシ,キサカタマチ4チョウメシオコシ
0180106,秋田県,にかほ市,象潟町５丁目塩越,アキタケン,ニカホシ,キサカタマチ5チョウメシオコシ
0180135,秋田県,にかほ市,象潟町洗釜,アキタケン,ニカホシ,キサカタマチアライガマ
0180107,秋田県,にかほ市,象潟町荒屋下,アキタケン,ニカホシ,キサカタマチアラヤシタ
0180105,秋田県,にかほ市,象潟町荒屋妻,アキタケン,ニカホシ,キサカタマチアラヤヅマ
0180112,秋田県,にかほ市,象潟町家の後,アキタケン,ニカホシ,キサカタマチイエノウシロ
0180108,秋田県,にかほ市,象潟町入湖の澗,アキタケン,ニカホシ,キサカタマチイリコノマ
0180115,秋田県,にかほ市,象潟町後田,アキタケン,ニカホシ,キサカタマチウシロダ
0180136,秋田県,にかほ市,象潟町大砂川,アキタケン,ニカホシ,キサカタマチオオサガワ
0180121,秋田県,にかほ市,象潟町大塩越,アキタケン,ニカホシ,キサカタマチオオシオコシ
0180142,秋田県,にかほ市,象潟町大須郷,アキタケン,ニカホシ,キサカタマチオオスゴウ
0180162,秋田県,にかほ市,象潟町大森,アキタケン,ニカホシ,キサカタマチオオモリ
0180131,秋田県,にかほ市,象潟町大谷地,アキタケン,ニカホシ,キサカタマチオオヤチ
0180114,秋田県,にかほ市,象潟町沖の田,アキタケン,ニカホシ,キサカタマチオキノタ
0180146,秋田県,にかほ市,象潟町蒲谷地,アキタケン,ニカホシ,キサカタマチカバヤチ
0180103,秋田県,にかほ市,象潟町上狐森,アキタケン,ニカホシ,キサカタマチカミキツネモリ
0180184,秋田県,にかほ市,象潟町上小坂,アキタケン,ニカホシ,キサカタマチカミコサカ
0180188,秋田県,にかほ市,象潟町烏島,アキタケン,ニカホシ,キサカタマチカラスジマ
0180141,秋田県,にかほ市,象潟町川袋,アキタケン,ニカホシ,キサカタマチカワフクロ
0180109,秋田県,にかほ市,象潟町冠石下,アキタケン,ニカホシ,キサカタマチカンムリイシシタ
0180122,秋田県,にかほ市,象潟町象潟島,アキタケン,ニカホシ,キサカタマチキサカタジマ
0180104,秋田県,にかほ市,象潟町狐森,アキタケン,ニカホシ,キサカタマチキツネモリ
0180102,秋田県,にかほ市,象潟町木戸口,アキタケン,ニカホシ,キサカタマチキドグチ
0180145,秋田県,にかほ市,象潟町源蔵潟,アキタケン,ニカホシ,キサカタマチゲンゾウガタ
0180187,秋田県,にかほ市,象潟町小烏島,アキタケン,ニカホシ,キサカタマチコガラスジマ
0180172,秋田県,にかほ市,象潟町小才の神,アキタケン,ニカホシ,キサカタマチコサイノカミ
0180183,秋田県,にかほ市,象潟町小坂,アキタケン,ニカホシ,キサカタマチコサカ
0180143,秋田県,にかほ市,象潟町小砂川,アキタケン,ニカホシ,キサカタマチコサガワ
0180153,秋田県,にかほ市,象潟町小滝,アキタケン,ニカホシ,キサカタマチコダキ
0180158,秋田県,にかほ市,象潟町琴和喜,アキタケン,ニカホシ,キサカタマチコトワキ
0180129,秋田県,にかほ市,象潟町才の神,アキタケン,ニカホシ,キサカタマチサイノカミ
0180175,秋田県,にかほ市,象潟町坂の下,アキタケン,ニカホシ,キサカタマチサカノシタ
0180148,秋田県,にかほ市,象潟町下浜山,アキタケン,ニカホシ,キサカタマチシモハマヤマ
0180181,秋田県,にかほ市,象潟町白山堂,アキタケン,ニカホシ,キサカタマチシラヤマドウ
0180133,秋田県,にかほ市,象潟町関,アキタケン,ニカホシ,キサカタマチセキ
0180161,秋田県,にかほ市,象潟町大飯郷,アキタケン,ニカホシ,キサカタマチダイハンゴウ
0180156,秋田県,にかほ市,象潟町大門先,アキタケン,ニカホシ,キサカタマチダイモンザキ
0180166,秋田県,にかほ市,象潟町高田,アキタケン,ニカホシ,キサカタマチタカダ
0180157,秋田県,にかほ市,象潟町鷹放,アキタケン,ニカホシ,キサカタマチタカハナシ
0180147,秋田県,にかほ市,象潟町立石,アキタケン,ニカホシ,キサカタマチタテイシ
0180165,秋田県,にかほ市,象潟町狸森,アキタケン,ニカホシ,キサカタマチタヌキモリ
0180167,秋田県,にかほ市,象潟町田の神,アキタケン,ニカホシ,キサカタマチタノカミ
0180128,秋田県,にかほ市,象潟町太郎島,アキタケン,ニカホシ,キサカタマチタロウジマ
0180171,秋田県,にかほ市,象潟町続島,アキタケン,ニカホシ,キサカタマチツヅキジマ
0180132,秋田県,にかほ市,象潟町鳥の海,アキタケン,ニカホシ,キサカタマチトリノウミ
0180163,秋田県,にかほ市,象潟町長岡,アキタケン,ニカホシ,キサカタマチナガオカ
0180127,秋田県,にかほ市,象潟町中橋町,アキタケン,ニカホシ,キサカタマチナカバシマチ
0180144,秋田県,にかほ市,象潟町中谷地,アキタケン,ニカホシ,キサカタマチナカヤチ
0180154,秋田県,にかほ市,象潟町二階谷地,アキタケン,ニカホシ,キサカタマチニカイヤチ
0180134,秋田県,にかほ市,象潟町西中野沢,アキタケン,ニカホシ,キサカタマチニシナカノサワ
0180125,秋田県,にかほ市,象潟町二の丸,アキタケン,ニカホシ,キサカタマチニノマル
0180124,秋田県,にかほ市,象潟町入道島,アキタケン,ニカホシ,キサカタマチニュウドウジマ
0180186,秋田県,にかほ市,象潟町能因島,アキタケン,ニカホシ,キサカタマチノウインジマ
0180113,秋田県,にかほ市,象潟町浜の田,アキタケン,ニカホシ,キサカタマチハマノタ
0180117,秋田県,にかほ市,象潟町浜畑,アキタケン,ニカホシ,キサカタマチハマハタ
0180101,秋田県,にかほ市,象潟町浜山,アキタケン,ニカホシ,キサカタマチハマヤマ
0180174,秋田県,にかほ市,象潟町林の下,アキタケン,ニカホシ,キサカタマチハヤシノシタ
0180182,秋田県,にかほ市,象潟町不動沢,アキタケン,ニカホシ,キサカタマチフドウサワ
